;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 123649,SENSOR,4450.40 ,18013.34 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123736,SENSOR,4237.74 ,18210.73 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123823,SENSOR,4025.08 ,18408.11 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123910,SENSOR,3812.42 ,18605.50 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123957,SENSOR,3599.77 ,18802.89 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124044,SENSOR,3387.11 ,19000.28 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124131,SENSOR,3174.45 ,19197.67 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124218,SENSOR,2961.79 ,19395.06 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124305,SENSOR,2749.14 ,19592.45 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124352,SENSOR,2536.48 ,19789.83 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124439,SENSOR,2323.82 ,19987.22 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124526,SENSOR,2111.16 ,20184.61 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124613,SENSOR,1898.51 ,20382.00 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124700,SENSOR,1685.85 ,20579.39 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124747,SENSOR,1473.19 ,20776.78 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124834,SENSOR,1260.53 ,20974.17 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 124921,SENSOR,1047.88 ,21171.55 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125008,SENSOR,835.22 ,21368.94 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125055,SENSOR,622.56 ,21566.33 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125142,SENSOR,409.90 ,21763.72 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125229,SENSOR,197.24 ,21961.11 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125316,SENSOR,-15.41 ,22158.50 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125403,SENSOR,-228.07 ,22355.89 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125450,SENSOR,-440.73 ,22553.27 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 125537,SENSOR,-566.72 ,22807.61 ,0.00 ,354.43 ,6.17 ,60.00 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 125624,SENSOR,-492.26 ,23081.49 ,0.00 ,35.99 ,6.17 ,60.88 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 125711,SENSOR,-260.99 ,23251.41 ,0.00 ,61.51 ,6.17 ,61.51 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 125758,SENSOR,-5.68 ,23389.25 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 125845,SENSOR,249.64 ,23527.09 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 125932,SENSOR,504.96 ,23664.93 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130019,SENSOR,760.28 ,23802.76 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
