;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:26:35 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 125300,SUBJECT,-7063.61 ,10656.93 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125400,SUBJECT,-7105.59 ,10900.27 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125500,SUBJECT,-7147.58 ,11143.61 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125600,SUBJECT,-7189.57 ,11386.95 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125700,SUBJECT,-7231.55 ,11630.29 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125800,SUBJECT,-7273.54 ,11873.62 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125900,SUBJECT,-7315.52 ,12116.96 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130000,SUBJECT,-7357.51 ,12360.30 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130100,SUBJECT,-7399.49 ,12603.64 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130200,SUBJECT,-7441.48 ,12846.98 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130300,SUBJECT,-7483.46 ,13090.31 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130400,SUBJECT,-7525.45 ,13333.65 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130500,SUBJECT,-7567.43 ,13576.99 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130600,SUBJECT,-7609.42 ,13820.33 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130700,SUBJECT,-7651.41 ,14063.66 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130800,SUBJECT,-7693.39 ,14307.00 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 130900,SUBJECT,-7735.38 ,14550.34 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131000,SUBJECT,-7777.36 ,14793.68 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131100,SUBJECT,-7819.35 ,15037.02 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131200,SUBJECT,-7861.33 ,15280.35 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131300,SUBJECT,-7903.32 ,15523.69 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131400,SUBJECT,-7945.30 ,15767.03 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131500,SUBJECT,-7987.29 ,16010.37 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131600,SUBJECT,-8029.27 ,16253.71 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131700,SUBJECT,-8071.26 ,16497.04 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131800,SUBJECT,-8113.24 ,16740.38 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 131900,SUBJECT,-8155.23 ,16983.72 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132000,SUBJECT,-8197.22 ,17227.06 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132100,SUBJECT,-8239.20 ,17470.39 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132200,SUBJECT,-8281.19 ,17713.73 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132300,SUBJECT,-8323.17 ,17957.07 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132400,SUBJECT,-8365.16 ,18200.41 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132500,SUBJECT,-8407.14 ,18443.75 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132600,SUBJECT,-8449.13 ,18687.08 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132700,SUBJECT,-8491.11 ,18930.42 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132800,SUBJECT,-8533.10 ,19173.76 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 132900,SUBJECT,-8575.09 ,19417.10 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133000,SUBJECT,-8617.07 ,19660.43 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133100,SUBJECT,-8659.06 ,19903.77 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133200,SUBJECT,-8701.04 ,20147.11 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133300,SUBJECT,-8743.03 ,20390.45 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133400,SUBJECT,-8785.01 ,20633.79 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133500,SUBJECT,-8827.00 ,20877.12 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133600,SUBJECT,-8868.98 ,21120.46 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133700,SUBJECT,-8910.97 ,21363.80 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133800,SUBJECT,-8952.95 ,21607.14 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 133900,SUBJECT,-8994.94 ,21850.48 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 134000,SUBJECT,-9036.93 ,22093.81 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 134100,SUBJECT,-9149.05 ,22309.43 ,0.00 ,314.84 ,4.12 ,310.00 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134200,SUBJECT,-9339.01 ,22467.12 ,0.00 ,309.26 ,4.12 ,309.26 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134300,SUBJECT,-9530.25 ,22623.33 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134400,SUBJECT,-9721.50 ,22779.54 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134500,SUBJECT,-9912.75 ,22935.75 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134600,SUBJECT,-10103.99 ,23091.96 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134700,SUBJECT,-10295.24 ,23248.17 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134800,SUBJECT,-10486.49 ,23404.38 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 134900,SUBJECT,-10677.74 ,23560.58 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135000,SUBJECT,-10868.98 ,23716.79 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135100,SUBJECT,-11060.23 ,23873.00 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135200,SUBJECT,-11251.48 ,24029.21 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135300,SUBJECT,-11442.72 ,24185.42 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135400,SUBJECT,-11633.97 ,24341.63 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135500,SUBJECT,-11825.22 ,24497.84 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135600,SUBJECT,-12016.47 ,24654.05 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135700,SUBJECT,-12207.71 ,24810.25 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135800,SUBJECT,-12398.96 ,24966.46 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 135900,SUBJECT,-12590.21 ,25122.67 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
100112 140000,SUBJECT,-12781.45 ,25278.88 ,0.00 ,309.24 ,4.12 ,309.24 ,4.12 ,0.00 ,100.00 ,subject route:leg three:Heading for target location
